agency,domain,funding_scheme,ending_year,no_projects,if,ais,avg_if_perc,funding_eur,weig_if,weig_ais,weig_avg_if_perc
ERC,LS1,Advanced Grant (AdG),2013,1,0,0,0,1997000,0,0,0
ERC,LS1,Advanced Grant (AdG),2014,8,1191.214,576.738,102.979,17797047,66.93,32.41,5.79
ERC,LS1,Advanced Grant (AdG),2015,12,1869.247,1004.328,124.16744,28264928,66.13,35.53,4.39
ERC,LS1,Advanced Grant (AdG),2016,9,689.511,333.371,62.0804,20611928,33.45,16.17,3.01
ERC,LS1,Advanced Grant (AdG),2017,10,1427.85,717.554,116.61048,23008785,62.06,31.19,5.07
ERC,LS1,Advanced Grant (AdG),2018,16,2424.296,1142.652,179.30508,38790514,62.5,29.46,4.62
ERC,LS1,Advanced Grant (AdG),2019,14,3369.501,1534.664,274.75008,33988933,99.14,45.15,8.08
ERC,LS1,Advanced Grant (AdG),2020,5,2101.18,1083.192,107.21258,10053649,209,107.74,10.66
ERC,LS1,Advanced Grant (AdG),2021,9,1707.876,860.067,86.07257,20655663,82.68,41.64,4.17
ERC,LS1,Advanced Grant (AdG),2022,13,1401.858,680.471,86.94365,29038785,48.28,23.43,2.99
ERC,LS1,Advanced Grant (AdG),2023,10,263.475,121.53,21.5891,22621336,11.65,5.37,0.95
ERC,LS1,Advanced Grant (AdG),2024,7,187.659,82.041,14.20554,15515970,12.09,5.29,0.92
ERC,LS1,Advanced Grant (AdG),2025,5,305.343,151.188,11.93354,10348747,29.51,14.61,1.15
ERC,LS1,Advanced Grant (AdG),2026,1,81.416,42.714,1.98827,2100929,38.75,20.33,0.95
ERC,LS1,Consolidator Grant (CoG),2019,10,1416.233,731.324,92.33647,19714004,71.84,37.1,4.68
ERC,LS1,Consolidator Grant (CoG),2020,7,859.912,414.113,69.3982,13781757,62.39,30.05,5.04
ERC,LS1,Consolidator Grant (CoG),2021,11,1920.052,935.393,123.78742,21511195,89.26,43.48,5.75
ERC,LS1,Consolidator Grant (CoG),2022,11,1234.589,588.614,80.79719,22277952,55.42,26.42,3.63
ERC,LS1,Consolidator Grant (CoG),2023,9,605.685,270.009,40.56099,18169948,33.33,14.86,2.23
ERC,LS1,Consolidator Grant (CoG),2024,7,314.952,145.472,24.34191,13295657,23.69,10.94,1.83
ERC,LS1,Consolidator Grant (CoG),2025,9,137.863,45.77,17.73432,18146894,7.6,2.52,0.98
ERC,LS1,Consolidator Grant (CoG),2026,4,5.996,1.294,0.81073,7996763,0.75,0.16,0.1
ERC,LS1,Starting Grant (StG),2012,1,304.91,170.287,16.21884,900000,338.79,189.21,18.02
ERC,LS1,Starting Grant (StG),2013,20,1378.249,725.596,118.8321,22113456,62.33,32.81,5.37
ERC,LS1,Starting Grant (StG),2014,13,1179.113,605.589,117.60014,18405286,64.06,32.9,6.39
ERC,LS1,Starting Grant (StG),2015,12,1494.045,742.899,93.69791,17823659,83.82,41.68,5.26
ERC,LS1,Starting Grant (StG),2016,17,2020.539,959.779,173.18457,25190285,80.21,38.1,6.88
ERC,LS1,Starting Grant (StG),2017,20,3248.272,1552.049,260.5713,30623552,106.07,50.68,8.51
ERC,LS1,Starting Grant (StG),2018,15,1364.557,630.997,113.34403,23097367,59.08,27.32,4.91
ERC,LS1,Starting Grant (StG),2019,10,1038.829,497.336,81.98759,15570515,66.72,31.94,5.27
ERC,LS1,Starting Grant (StG),2020,5,537.934,244.886,52.138,7804443,68.93,31.38,6.68
ERC,LS1,Starting Grant (StG),2021,20,2061.796,995.403,151.43233,31435079,65.59,31.67,4.82
ERC,LS1,Starting Grant (StG),2022,11,717.989,304.005,68.47714,17968612,39.96,16.92,3.81
ERC,LS1,Starting Grant (StG),2023,9,483.457,255.279,23.90797,13224838,36.56,19.3,1.81
ERC,LS1,Starting Grant (StG),2024,9,355.807,171.695,26.30916,13205934,26.94,13,1.99
ERC,LS1,Starting Grant (StG),2025,11,60.363,25.883,4.0335,16533507,3.65,1.57,0.24
ERC,LS1,Starting Grant (StG),2026,5,0,0,0,7739697,0,0,0
ERC,LS2,Advanced Grant (AdG),2013,4,252.997,134.308,16.01526,9148332,27.65,14.68,1.75
ERC,LS2,Advanced Grant (AdG),2014,5,1706.315,909.187,123.13083,10231390,166.77,88.86,12.03
ERC,LS2,Advanced Grant (AdG),2015,12,2414.905,1281.708,178.35225,26873962,89.86,47.69,6.64
ERC,LS2,Advanced Grant (AdG),2016,11,2188.058,939.976,185.09576,22796152,95.98,41.23,8.12
ERC,LS2,Advanced Grant (AdG),2017,10,2134.557,1156.706,124.97336,24035907,88.81,48.12,5.2
ERC,LS2,Advanced Grant (AdG),2018,12,2598.992,1290.968,210.08974,27269174,95.31,47.34,7.7
ERC,LS2,Advanced Grant (AdG),2019,10,1543.81,744.63,129.14717,24394246,63.29,30.52,5.29
ERC,LS2,Advanced Grant (AdG),2020,2,1450.263,814.644,77.18279,4345119,333.77,187.48,17.76
ERC,LS2,Advanced Grant (AdG),2021,11,2059.809,1020.311,126.42224,25368916,81.19,40.22,4.98
ERC,LS2,Advanced Grant (AdG),2022,8,954.919,475.058,45.02118,19813704,48.19,23.98,2.27
ERC,LS2,Advanced Grant (AdG),2023,5,387.592,189.496,21.5296,11880100,32.63,15.95,1.81
ERC,LS2,Advanced Grant (AdG),2024,8,418.703,214.971,30.14043,19095618,21.93,11.26,1.58
ERC,LS2,Advanced Grant (AdG),2025,3,48.32,25.079,1.84507,7155764,6.75,3.5,0.26
ERC,LS2,Advanced Grant (AdG),2026,1,42.779,21.917,0.99296,2302500,18.58,9.52,0.43
ERC,LS2,Consolidator Grant (CoG),2019,13,1665.716,842.283,118.67365,24735704,67.34,34.05,4.8
ERC,LS2,Consolidator Grant (CoG),2020,7,1105.198,548.007,74.01586,13729881,80.5,39.91,5.39
ERC,LS2,Consolidator Grant (CoG),2021,11,2057.647,1018.679,118.07614,21905626,93.93,46.5,5.39
ERC,LS2,Consolidator Grant (CoG),2022,12,2213.927,1217.671,95.18848,25168706,87.96,48.38,3.78
ERC,LS2,Consolidator Grant (CoG),2023,10,1087.221,532.917,55.5039,20278150,53.62,26.28,2.74
ERC,LS2,Consolidator Grant (CoG),2024,9,475.87,254.832,23.62826,18552512,25.65,13.74,1.27
ERC,LS2,Consolidator Grant (CoG),2025,8,220.63,107.737,18.57424,15889957,13.88,6.78,1.17
ERC,LS2,Consolidator Grant (CoG),2026,4,0,0,0,7999916,0,0,0
ERC,LS2,Consolidator Grant (CoG),2027,1,0,0,0,2000000,0,0,0
ERC,LS2,Starting Grant (StG),2013,10,946.106,490.47,72.76236,10651739,88.82,46.05,6.83
ERC,LS2,Starting Grant (StG),2014,10,1167.343,604.428,97.39818,13385950,87.21,45.15,7.28
ERC,LS2,Starting Grant (StG),2015,16,2731.98,1404.211,204.92988,24208021,112.85,58.01,8.47
ERC,LS2,Starting Grant (StG),2016,21,2465.439,1221.159,205.49585,31570148,78.09,38.68,6.51
ERC,LS2,Starting Grant (StG),2017,23,3387.38,1659.765,312.28998,34167827,99.14,48.58,9.14
ERC,LS2,Starting Grant (StG),2018,12,2324.168,1132.411,181.94751,17865009,130.1,63.39,10.18
ERC,LS2,Starting Grant (StG),2019,10,1438.957,786.186,89.68753,15171281,94.85,51.82,5.91
ERC,LS2,Starting Grant (StG),2020,6,742.372,396.847,50.33601,8942313,83.02,44.38,5.63
ERC,LS2,Starting Grant (StG),2021,19,1897.887,1009.037,129.61032,28666091,66.21,35.2,4.52
ERC,LS2,Starting Grant (StG),2022,11,925.094,464.371,76.60564,16940044,54.61,27.41,4.52
ERC,LS2,Starting Grant (StG),2023,18,582.629,286.814,47.36287,27236229,21.39,10.53,1.74
ERC,LS2,Starting Grant (StG),2024,13,219.573,114.806,11.76992,19490602,11.27,5.89,0.6
ERC,LS2,Starting Grant (StG),2025,10,201.253,104.42,12.15907,14944098,13.47,6.99,0.81
ERC,LS2,Starting Grant (StG),2026,7,24.914,13.08,1.89912,11212314,2.22,1.17,0.17
ERC,LS3,Advanced Grant (AdG),2013,1,4.106,1.186,0.91447,2240000,1.83,0.53,0.41
ERC,LS3,Advanced Grant (AdG),2014,8,866.259,469.815,64.19671,17550802,49.36,26.77,3.66
ERC,LS3,Advanced Grant (AdG),2015,10,562.587,283.767,44.4697,22185089,25.36,12.79,2
ERC,LS3,Advanced Grant (AdG),2016,11,1160.196,599.446,85.86605,25858430,44.87,23.18,3.32
ERC,LS3,Advanced Grant (AdG),2017,8,681.496,346.575,57.40621,17691024,38.52,19.59,3.24
ERC,LS3,Advanced Grant (AdG),2018,11,1284.6,633.174,94.57496,27000609,47.58,23.45,3.5
ERC,LS3,Advanced Grant (AdG),2019,12,1934.674,963.722,139.8843,29471578,65.65,32.7,4.75
ERC,LS3,Advanced Grant (AdG),2020,2,47.946,23.806,1.88606,5562066,8.62,4.28,0.34
ERC,LS3,Advanced Grant (AdG),2021,9,485.564,233.562,43.55951,23717578,20.47,9.85,1.84
ERC,LS3,Advanced Grant (AdG),2022,11,1466.179,705.642,97.2145,26291106,55.77,26.84,3.7
ERC,LS3,Advanced Grant (AdG),2023,8,420.256,200.137,22.76621,20086048,20.92,9.96,1.13
ERC,LS3,Advanced Grant (AdG),2024,7,175.849,90.532,12.54903,17391084,10.11,5.21,0.72
ERC,LS3,Advanced Grant (AdG),2025,4,0,0,0,9350226,0,0,0
ERC,LS3,Advanced Grant (AdG),2026,1,37.135,15.114,4.15699,2374698,15.64,6.36,1.75
ERC,LS3,Consolidator Grant (CoG),2019,10,2104.406,1013.113,152.75082,19707359,106.78,51.41,7.75
ERC,LS3,Consolidator Grant (CoG),2020,5,667.405,343.495,54.69643,10112157,66,33.97,5.41
ERC,LS3,Consolidator Grant (CoG),2021,11,1050.245,477.488,89.31919,22541405,46.59,21.18,3.96
ERC,LS3,Consolidator Grant (CoG),2022,12,873.043,415.531,56.19992,23822182,36.65,17.44,2.36
ERC,LS3,Consolidator Grant (CoG),2023,9,729.849,354.86,45.74059,18616314,39.2,19.06,2.46
ERC,LS3,Consolidator Grant (CoG),2024,9,263.746,123.702,24.01244,17397887,15.16,7.11,1.38
ERC,LS3,Consolidator Grant (CoG),2025,8,13.873,3.414,2.06671,16424317,0.84,0.21,0.13
ERC,LS3,Consolidator Grant (CoG),2026,3,0,0,0,6369219,0,0,0
ERC,LS3,Starting Grant (StG),2011,1,147.228,58.482,16.96354,880000,167.3,66.46,19.28
ERC,LS3,Starting Grant (StG),2013,6,693.352,339.179,58.64051,9395304,73.8,36.1,6.24
ERC,LS3,Starting Grant (StG),2014,10,962.904,456.269,75.72555,13453480,71.57,33.91,5.63
ERC,LS3,Starting Grant (StG),2015,15,1402.53,730.929,109.92006,22904368,61.23,31.91,4.8
ERC,LS3,Starting Grant (StG),2016,16,2203.703,1059.345,182.03091,24353475,90.49,43.5,7.47
ERC,LS3,Starting Grant (StG),2017,18,2332.436,1178.44,163.71757,26490075,88.05,44.49,6.18
ERC,LS3,Starting Grant (StG),2018,11,1306.82,658.714,87.14747,16861601,77.5,39.07,5.17
ERC,LS3,Starting Grant (StG),2019,11,1043.425,520.069,86.19574,16808630,62.08,30.94,5.13
ERC,LS3,Starting Grant (StG),2020,7,546.335,260.286,52.95321,10360833,52.73,25.12,5.11
ERC,LS3,Starting Grant (StG),2021,13,868.947,437.054,68.47353,19945582,43.57,21.91,3.43
ERC,LS3,Starting Grant (StG),2022,15,867.615,410.723,59.27755,22986026,37.75,17.87,2.58
ERC,LS3,Starting Grant (StG),2023,11,317.214,144.911,25.25118,16923867,18.74,8.56,1.49
ERC,LS3,Starting Grant (StG),2024,8,184.751,88.462,14.61376,11930994,15.48,7.41,1.22
ERC,LS3,Starting Grant (StG),2025,10,64.695,23.83,7.68668,15342339,4.22,1.55,0.5
ERC,LS3,Starting Grant (StG),2026,6,0,0,0,9566958,0,0,0
ERC,LS4,Advanced Grant (AdG),2013,3,129.828,51.251,10.21088,7497041,17.32,6.84,1.36
ERC,LS4,Advanced Grant (AdG),2014,5,717.479,287.195,62.26081,11487009,62.46,25,5.42
ERC,LS4,Advanced Grant (AdG),2015,6,1189.62,558.29,95.06416,14240974,83.54,39.2,6.68
ERC,LS4,Advanced Grant (AdG),2016,16,2632.627,1157.393,231.86007,39310979,66.97,29.44,5.9
ERC,LS4,Advanced Grant (AdG),2017,11,1674.502,764.333,125.10088,27239414,61.47,28.06,4.59
ERC,LS4,Advanced Grant (AdG),2018,15,1730.875,754.553,158.17764,37468820,46.2,20.14,4.22
ERC,LS4,Advanced Grant (AdG),2019,13,1591.865,708.529,130.15394,31819953,50.03,22.27,4.09
ERC,LS4,Advanced Grant (AdG),2020,1,0,0,0,2495425,0,0,0
ERC,LS4,Advanced Grant (AdG),2021,14,1591.292,731.438,109.30194,34628666,45.95,21.12,3.16
ERC,LS4,Advanced Grant (AdG),2022,11,2000.406,765.081,175.74863,27304317,73.26,28.02,6.44
ERC,LS4,Advanced Grant (AdG),2023,11,801.048,349.635,50.58071,26089286,30.7,13.4,1.94
ERC,LS4,Advanced Grant (AdG),2024,10,1655.424,730.644,106.05115,24521755,67.51,29.8,4.32
ERC,LS4,Advanced Grant (AdG),2025,6,152.896,62.366,8.09598,14992584,10.2,4.16,0.54
ERC,LS4,Consolidator Grant (CoG),2019,13,2949.085,1259.324,216.64713,25964768,113.58,48.5,8.34
ERC,LS4,Consolidator Grant (CoG),2020,10,790.248,351.15,63.67651,19744989,40.02,17.78,3.22
ERC,LS4,Consolidator Grant (CoG),2021,16,1593.135,613.022,127.9657,32301045,49.32,18.98,3.96
ERC,LS4,Consolidator Grant (CoG),2022,10,722.799,310.429,54.11672,19823701,36.46,15.66,2.73
ERC,LS4,Consolidator Grant (CoG),2023,13,1289.177,528.891,90.00925,25960812,49.66,20.37,3.47
ERC,LS4,Consolidator Grant (CoG),2024,12,569.903,227.837,41.45292,23440412,24.31,9.72,1.77
ERC,LS4,Consolidator Grant (CoG),2025,12,216.147,80.364,18.73387,24109236,8.97,3.33,0.78
ERC,LS4,Consolidator Grant (CoG),2026,6,9.78,1.829,0.96154,11991227,0.82,0.15,0.08
ERC,LS4,Starting Grant (StG),2012,1,23.452,10.774,2.75696,1290000,18.18,8.35,2.14
ERC,LS4,Starting Grant (StG),2013,9,646.179,330.902,55.08208,13247516,48.78,24.98,4.16
ERC,LS4,Starting Grant (StG),2014,10,1006.772,453.778,115.50494,13886873,72.5,32.68,8.32
ERC,LS4,Starting Grant (StG),2015,10,976.734,448.685,77.90966,14556104,67.1,30.82,5.35
ERC,LS4,Starting Grant (StG),2016,15,1944.998,835.194,165.45667,22328479,87.11,37.4,7.41
ERC,LS4,Starting Grant (StG),2017,22,1783.662,816.103,163.21064,33291806,53.58,24.51,4.9
ERC,LS4,Starting Grant (StG),2018,21,3361.815,1396.518,305.15776,30146451,111.52,46.32,10.12
ERC,LS4,Starting Grant (StG),2019,8,1213.084,528.598,100.8842,11536345,105.15,45.82,8.74
ERC,LS4,Starting Grant (StG),2020,11,911.576,394.259,73.52743,15692303,58.09,25.12,4.69
ERC,LS4,Starting Grant (StG),2021,14,1581.084,650.955,128.80463,21653492,73.02,30.06,5.95
ERC,LS4,Starting Grant (StG),2022,22,1558.369,640.359,127.03403,33958353,45.89,18.86,3.74
ERC,LS4,Starting Grant (StG),2023,15,901.885,368.896,77.2636,22480123,40.12,16.41,3.44
ERC,LS4,Starting Grant (StG),2024,12,335.659,105.768,36.42429,19822008,16.93,5.34,1.84
ERC,LS4,Starting Grant (StG),2025,12,241.903,74.413,27.25929,18562026,13.03,4.01,1.47
ERC,LS4,Starting Grant (StG),2026,8,9.619,0,1.67797,12831718,0.75,0,0.13
ERC,LS5,Advanced Grant (AdG),2012,1,297.508,146.285,19.27761,1650000,180.31,88.66,11.68
ERC,LS5,Advanced Grant (AdG),2013,2,409.047,226.559,16.65168,4991276,81.95,45.39,3.34
ERC,LS5,Advanced Grant (AdG),2014,7,852.718,387.059,102.322,17981757,47.42,21.53,5.69
ERC,LS5,Advanced Grant (AdG),2015,8,682.736,340.016,60.96897,18231347,37.45,18.65,3.34
ERC,LS5,Advanced Grant (AdG),2016,16,2243.501,1026.746,197.04096,39844087,56.31,25.77,4.95
ERC,LS5,Advanced Grant (AdG),2017,16,2460.494,1213.796,197.77322,39718534,61.95,30.56,4.98
ERC,LS5,Advanced Grant (AdG),2018,19,2764.553,1314.883,243.31451,45568687,60.67,28.85,5.34
ERC,LS5,Advanced Grant (AdG),2019,15,1680.147,817.194,145.27169,38262842,43.91,21.36,3.8
ERC,LS5,Advanced Grant (AdG),2020,6,608.191,314.722,42.32542,14865172,40.91,21.17,2.85
ERC,LS5,Advanced Grant (AdG),2021,15,1624.902,791.407,99.11141,37225447,43.65,21.26,2.66
ERC,LS5,Advanced Grant (AdG),2022,12,1286.687,659.357,76.64197,28232051,45.58,23.35,2.71
ERC,LS5,Advanced Grant (AdG),2023,12,655.977,330.402,45.12389,29495215,22.24,11.2,1.53
ERC,LS5,Advanced Grant (AdG),2024,9,514.703,244.312,27.91494,21244851,24.23,11.5,1.31
ERC,LS5,Advanced Grant (AdG),2025,9,25.621,12.985,3.13397,21374199,1.2,0.61,0.15
ERC,LS5,Consolidator Grant (CoG),2019,14,1701.703,860.43,138.24077,27763272,61.29,30.99,4.98
ERC,LS5,Consolidator Grant (CoG),2020,6,732.338,325.377,85.86096,11450019,63.96,28.42,7.5
ERC,LS5,Consolidator Grant (CoG),2021,21,2060.504,993.256,165.44512,40340400,51.08,24.62,4.1
ERC,LS5,Consolidator Grant (CoG),2022,18,1331.047,631.681,116.68992,35586337,37.4,17.75,3.28
ERC,LS5,Consolidator Grant (CoG),2023,17,502.508,230.307,44.15191,32605451,15.41,7.06,1.35
ERC,LS5,Consolidator Grant (CoG),2024,9,202.222,96.175,18.31114,17633194,11.47,5.45,1.04
ERC,LS5,Consolidator Grant (CoG),2025,13,84.903,37.449,8.48607,24782753,3.43,1.51,0.34
ERC,LS5,Consolidator Grant (CoG),2026,4,7.076,3.989,0.91403,8365766,0.85,0.48,0.11
ERC,LS5,Starting Grant (StG),2010,1,0,0,0,1841404,0,0,0
ERC,LS5,Starting Grant (StG),2011,1,52.06,24.664,8.00723,534000,97.49,46.19,14.99
ERC,LS5,Starting Grant (StG),2012,1,0,0,0,988860,0,0,0
ERC,LS5,Starting Grant (StG),2013,7,964.86,459.956,104.73116,8109296,118.98,56.72,12.91
ERC,LS5,Starting Grant (StG),2014,9,901.675,424.018,82.82305,13034147,69.18,32.53,6.35
ERC,LS5,Starting Grant (StG),2015,12,1073.192,544.773,104.93649,17764645,60.41,30.67,5.91
ERC,LS5,Starting Grant (StG),2016,20,2320.731,1166.449,204.9323,29508277,78.65,39.53,6.94
ERC,LS5,Starting Grant (StG),2017,24,2227.631,1099.88,219.82764,36428766,61.15,30.19,6.03
ERC,LS5,Starting Grant (StG),2018,28,2941.353,1407.504,294.70141,43710176,67.29,32.2,6.74
ERC,LS5,Starting Grant (StG),2019,12,882.864,455.668,73.75942,17931777,49.23,25.41,4.11
ERC,LS5,Starting Grant (StG),2020,14,944.085,460.763,97.77865,20792523,45.41,22.16,4.7
ERC,LS5,Starting Grant (StG),2021,17,785.893,371.225,72.37785,24597768,31.95,15.09,2.94
ERC,LS5,Starting Grant (StG),2022,28,912.409,423.345,97.93677,41366640,22.06,10.23,2.37
ERC,LS5,Starting Grant (StG),2023,22,732.81,356.418,50.55751,33198637,22.07,10.74,1.52
ERC,LS5,Starting Grant (StG),2024,17,218.558,103.491,22.30383,24675479,8.86,4.19,0.9
ERC,LS5,Starting Grant (StG),2025,13,60.556,18.228,6.7345,19745686,3.07,0.92,0.34
ERC,LS5,Starting Grant (StG),2026,11,9.474,3.334,1.57843,16612839,0.57,0.2,0.1
ERC,LS6,Advanced Grant (AdG),2010,1,0,0,0,2470400,0,0,0
ERC,LS6,Advanced Grant (AdG),2014,9,411.586,203.665,30.92421,18831623,21.86,10.82,1.64
ERC,LS6,Advanced Grant (AdG),2015,14,2770.34,1318.675,229.88909,26959891,102.76,48.91,8.53
ERC,LS6,Advanced Grant (AdG),2016,7,729.806,345.039,63.56023,15889112,45.93,21.72,4
ERC,LS6,Advanced Grant (AdG),2017,14,2356.956,1122.873,179.84311,32123576,73.37,34.95,5.6
ERC,LS6,Advanced Grant (AdG),2018,12,2160.723,1046.02,151.92694,27891220,77.47,37.5,5.45
ERC,LS6,Advanced Grant (AdG),2019,15,2972.225,1372.103,228.48945,34060603,87.26,40.28,6.71
ERC,LS6,Advanced Grant (AdG),2020,4,958.85,448.836,70.16967,9363498,102.4,47.93,7.49
ERC,LS6,Advanced Grant (AdG),2021,11,1313.144,599.581,107.03273,25227126,52.05,23.77,4.24
ERC,LS6,Advanced Grant (AdG),2022,9,1948.388,930.458,105.53992,21017106,92.7,44.27,5.02
ERC,LS6,Advanced Grant (AdG),2023,9,830.201,400.401,40.5502,22398978,37.06,17.88,1.81
ERC,LS6,Advanced Grant (AdG),2024,5,108.672,48.518,5.55616,12475949,8.71,3.89,0.45
ERC,LS6,Advanced Grant (AdG),2025,7,42.688,19.431,3.67973,17470547,2.44,1.11,0.21
ERC,LS6,Consolidator Grant (CoG),2019,12,1939.005,833.46,168.4139,23857315,81.28,34.94,7.06
ERC,LS6,Consolidator Grant (CoG),2020,5,409.265,186.748,24.17894,8833243,46.33,21.14,2.74
ERC,LS6,Consolidator Grant (CoG),2021,14,1974.369,882.037,132.80693,29427670,67.09,29.97,4.51
ERC,LS6,Consolidator Grant (CoG),2022,10,1034.914,488.8,68.58869,20461905,50.58,23.89,3.35
ERC,LS6,Consolidator Grant (CoG),2023,12,552.858,242.742,48.23807,25267063,21.88,9.61,1.91
ERC,LS6,Consolidator Grant (CoG),2024,8,608.21,263.159,37.77394,16983150,35.81,15.5,2.22
ERC,LS6,Consolidator Grant (CoG),2025,7,161.639,76.128,9.62206,14486876,11.16,5.25,0.66
ERC,LS6,Consolidator Grant (CoG),2026,7,10.806,10.213,0.96451,14863969,0.73,0.69,0.06
ERC,LS6,Starting Grant (StG),2012,2,77.241,26.476,9.46313,1651400,46.77,16.03,5.73
ERC,LS6,Starting Grant (StG),2013,9,276.875,106.551,37.57782,12797429,21.64,8.33,2.94
ERC,LS6,Starting Grant (StG),2014,9,1444.688,666.923,115.75042,14245443,101.41,46.82,8.13
ERC,LS6,Starting Grant (StG),2015,10,1450.402,661.954,131.20473,15798272,91.81,41.9,8.31
ERC,LS6,Starting Grant (StG),2016,17,2178.155,1049.166,181.95659,24772255,87.93,42.35,7.35
ERC,LS6,Starting Grant (StG),2017,17,2804.282,1246.932,241.39126,25825013,108.59,48.28,9.35
ERC,LS6,Starting Grant (StG),2018,22,2819.576,1273.22,241.99441,32792362,85.98,38.83,7.38
ERC,LS6,Starting Grant (StG),2019,4,478.743,228.556,45.86893,5888255,81.3,38.82,7.79
ERC,LS6,Starting Grant (StG),2020,9,1110.895,500.829,86.49847,13453746,82.57,37.23,6.43
ERC,LS6,Starting Grant (StG),2021,14,1393.374,632.771,94.58872,21286891,65.46,29.73,4.44
ERC,LS6,Starting Grant (StG),2022,15,881.665,386.249,71.38267,22966260,38.39,16.82,3.11
ERC,LS6,Starting Grant (StG),2023,14,698.147,315.307,46.44494,21142254,33.02,14.91,2.2
ERC,LS6,Starting Grant (StG),2024,8,399.021,174.604,26.01664,11968506,33.34,14.59,2.17
ERC,LS6,Starting Grant (StG),2025,4,16.998,7.016,2.30597,6250000,2.72,1.12,0.37
ERC,LS6,Starting Grant (StG),2026,9,59.879,25.729,4.03455,13890001,4.31,1.85,0.29
ERC,LS7,Advanced Grant (AdG),2013,2,227.057,84.594,31.67407,4771702,47.58,17.73,6.64
ERC,LS7,Advanced Grant (AdG),2014,10,2056.485,732.99,249.42943,21382454,96.18,34.28,11.67
ERC,LS7,Advanced Grant (AdG),2015,13,1495.021,524.508,193.6793,26156032,57.16,20.05,7.4
ERC,LS7,Advanced Grant (AdG),2016,13,2032.718,819.685,208.23635,32597942,62.36,25.15,6.39
ERC,LS7,Advanced Grant (AdG),2017,16,2872.047,1054.856,334.89,39417299,72.86,26.76,8.5
ERC,LS7,Advanced Grant (AdG),2018,17,3468.35,1333.245,414.28581,41095226,84.4,32.44,10.08
ERC,LS7,Advanced Grant (AdG),2019,21,2949.216,1059.071,348.0531,51470766,57.3,20.58,6.76
ERC,LS7,Advanced Grant (AdG),2020,5,681.09,216.23,75.39945,12131034,56.14,17.82,6.22
ERC,LS7,Advanced Grant (AdG),2021,15,2424.3,825.635,327.91025,34894636,69.47,23.66,9.4
ERC,LS7,Advanced Grant (AdG),2022,18,2882.71,1015.142,271.6728,45348880,63.57,22.39,5.99
ERC,LS7,Advanced Grant (AdG),2023,13,937.211,320.385,94.62971,31768751,29.5,10.08,2.98
ERC,LS7,Advanced Grant (AdG),2024,13,748.139,242.634,66.7753,31984782,23.39,7.59,2.09
ERC,LS7,Advanced Grant (AdG),2025,6,88.602,35.889,9.70884,15428471,5.74,2.33,0.63
ERC,LS7,Advanced Grant (AdG),2026,3,0,0,0,7499875,0,0,0
ERC,LS7,Consolidator Grant (CoG),2018,2,323.374,107.751,46.234,3199323,101.08,33.68,14.45
ERC,LS7,Consolidator Grant (CoG),2019,12,1730.276,661.617,181.96998,23935451,72.29,27.64,7.6
ERC,LS7,Consolidator Grant (CoG),2020,8,1111.944,384.265,106.81838,16956076,65.58,22.66,6.3
ERC,LS7,Consolidator Grant (CoG),2021,25,4581.347,1681.064,453.31138,50093044,91.46,33.56,9.05
ERC,LS7,Consolidator Grant (CoG),2022,19,2620.246,990.073,203.90492,36242323,72.3,27.32,5.63
ERC,LS7,Consolidator Grant (CoG),2023,16,871.037,338.444,79.69596,31564339,27.6,10.72,2.52
ERC,LS7,Consolidator Grant (CoG),2024,16,1138.936,385.345,92.70179,32548604,34.99,11.84,2.85
ERC,LS7,Consolidator Grant (CoG),2025,16,387.712,133.553,41.23372,32394605,11.97,4.12,1.27
ERC,LS7,Consolidator Grant (CoG),2026,7,83.203,28.017,6.96723,13944009,5.97,2.01,0.5
ERC,LS7,Consolidator Grant (CoG),2027,1,16.947,3.741,3.10388,2000000,8.47,1.87,1.55
ERC,LS7,Starting Grant (StG),2012,1,80.338,27.8,14.66994,363600,220.95,76.46,40.35
ERC,LS7,Starting Grant (StG),2013,3,100.268,37.419,10.37243,4330272,23.16,8.64,2.4
ERC,LS7,Starting Grant (StG),2014,12,1241.912,424.279,163.07942,17319394,71.71,24.5,9.42
ERC,LS7,Starting Grant (StG),2015,12,1727.703,613.245,229.44996,17007854,101.58,36.06,13.49
ERC,LS7,Starting Grant (StG),2016,13,1479.674,553.065,196.98851,18865514,78.43,29.32,10.44
ERC,LS7,Starting Grant (StG),2017,26,4291.657,1393.82,541.64857,37685851,113.88,36.99,14.37
ERC,LS7,Starting Grant (StG),2018,28,2748.134,958.457,376.55232,40464407,67.91,23.69,9.31
ERC,LS7,Starting Grant (StG),2019,11,1902.109,629.232,214.34244,16721244,113.75,37.63,12.82
ERC,LS7,Starting Grant (StG),2020,15,2051.56,749.318,252.40369,22189992,92.45,33.77,11.37
ERC,LS7,Starting Grant (StG),2021,28,2431.69,807.936,286.96916,43075839,56.45,18.76,6.66
ERC,LS7,Starting Grant (StG),2022,32,2715.476,864.019,295.93388,48387292,56.12,17.86,6.12
ERC,LS7,Starting Grant (StG),2023,20,1647.665,647.93,131.14022,30632659,53.79,21.15,4.28
ERC,LS7,Starting Grant (StG),2024,13,797.002,244.23,85.1588,19967269,39.92,12.23,4.26
ERC,LS7,Starting Grant (StG),2025,26,438.522,133.689,39.62029,39901470,10.99,3.35,0.99
ERC,LS7,Starting Grant (StG),2026,9,71.104,21.679,7.57367,14802799,4.8,1.46,0.51
